# Pg [torr], Vb [V], L [m], Miss% [%], Sput% [%], SputY [-]
1.000000000000000062e-09,1.200000000000000000e+03,9.599999999999999645e+00,1.410000000000000142e-02,4.890840000000000032e+01,4.891529705688502094e-01
1.000000000000000062e-09,1.200000000000000000e+03,1.919999999999999929e+01,3.040000000000000341e-02,4.884660000000000224e+01,4.886145388198012141e-01
1.000000000000000062e-09,1.500000000000000000e+03,1.499999999999999944e-01,9.999999999999999124e-05,6.327519999999999811e+01,6.327526327526327155e-01
1.000000000000000062e-09,1.500000000000000000e+03,2.999999999999999889e-01,5.000000000000000104e-04,6.319789999999999708e+01,6.319821599107995347e-01
1.000000000000000062e-09,1.500000000000000000e+03,5.999999999999999778e-01,1.299999999999999940e-03,6.339139999999999731e+01,6.339222409891328569e-01
1.000000000000000062e-09,1.500000000000000000e+03,1.199999999999999956e+00,2.400000000000000223e-03,6.334940000000000282e+01,6.335092042209012897e-01
1.000000000000000062e-09,1.500000000000000000e+03,2.399999999999999911e+00,3.399999999999999811e-03,6.329070000000000107e+01,6.329285195696653377e-01
1.000000000000000062e-09,1.500000000000000000e+03,4.799999999999999822e+00,7.100000000000000408e-03,6.338629999999999853e+01,6.339080074685302657e-01
1.000000000000000062e-09,1.500000000000000000e+03,9.599999999999999645e+00,1.410000000000000142e-02,6.334140000000000015e+01,6.335033239686795881e-01
1.000000000000000062e-09,1.500000000000000000e+03,1.919999999999999929e+01,3.069999999999999812e-02,6.335669999999999646e+01,6.337615648003936952e-01
1.000000000000000062e-09,1.800000000000000000e+03,1.499999999999999944e-01,9.999999999999999124e-05,7.820420000000000016e+01,7.820427820427819920e-01
1.000000000000000062e-09,1.800000000000000000e+03,2.999999999999999889e-01,3.999999999999999650e-04,7.828759999999999764e+01,7.828791315165261055e-01
1.000000000000000062e-09,1.800000000000000000e+03,5.999999999999999778e-01,6.999999999999999929e-04,7.818710000000000093e+01,7.818764731353119446e-01
1.000000000000000062e-09,1.800000000000000000e+03,1.199999999999999956e+00,1.699999999999999905e-03,7.819400000000000261e+01,7.819532932059845010e-01
1.000000000000000062e-09,1.800000000000000000e+03,2.399999999999999911e+00,4.300000000000000003e-03,7.832480000000001041e+01,7.832816811122877976e-01
1.000000000000000062e-09,1.800000000000000000e+03,4.799999999999999822e+00,7.399999999999999460e-03,7.816870000000000118e+01,7.817448491188347948e-01
1.000000000000000062e-09,1.800000000000000000e+03,9.599999999999999645e+00,1.279999999999999888e-02,7.827559999999999718e+01,7.828562055943161235e-01
1.000000000000000062e-09,1.800000000000000000e+03,1.919999999999999929e+01,2.790000000000000119e-02,7.823170000000000357e+01,7.825353273563324663e-01
1.000000000000000062e-09,2.100000000000000000e+03,1.499999999999999944e-01,9.999999999999999124e-05,9.354930000000000234e+01,9.354939354939354468e-01
1.000000000000000062e-09,2.100000000000000000e+03,2.999999999999999889e-01,3.000000000000000279e-04,9.353369999999999607e+01,9.353398060194180186e-01
1.000000000000000062e-09,2.100000000000000000e+03,5.999999999999999778e-01,1.200000000000000112e-03,9.355360000000000298e+01,9.355472265667188481e-01
1.000000000000000062e-09,2.100000000000000000e+03,1.199999999999999956e+00,1.799999999999999951e-03,9.355290000000000816e+01,9.355458398251168539e-01
1.000000000000000062e-09,2.100000000000000000e+03,2.399999999999999911e+00,3.499999999999999639e-03,9.356020000000000891e+01,9.356347472161525847e-01
1.000000000000000062e-09,2.100000000000000000e+03,4.799999999999999822e+00,6.799999999999999621e-03,9.357839999999998781e+01,9.358476376393595197e-01
1.000000000000000062e-09,2.100000000000000000e+03,9.599999999999999645e+00,1.359999999999999924e-02,9.354800000000000182e+01,9.356072425849915053e-01
1.000000000000000062e-09,2.100000000000000000e+03,1.919999999999999929e+01,2.730000000000000135e-02,9.353770000000000095e+01,9.356324276527492323e-01
1.000000000000000021e-08,6.000000000000000000e+02,1.499999999999999944e-01,2.699999999999999709e-03,2.180580000000000140e+01,2.180638877249685692e-01
